offense,ypa_Pass_off,ypa_Rush_off,ypa_Pass_def,ypa_Rush_def
Ohio,6.11111111111111,5.62962962962963,3.44791666666667,4.80172413793104
Ohio State,7.84897959183674,7.07453416149068,6.69277108433735,4.03301886792453
Oklahoma,8.87239583333333,5.03299492385787,5.05869074492099,4.48657718120805
Oklahoma State,6.4027397260274,4.45606694560669,5.6710182767624,4.52631578947368
Ole Miss,8.78730158730159,5.0547263681592,7.19667590027701,6.17647058823529
Oregon,7.70149253731343,5.23893805309735,6.10852713178295,4.43382352941176
Oregon State,5.26938775510204,6.01626016260163,7.19617224880383,5.91729323308271
Penn State,5.66766467065868,4.45989304812834,5.78048780487805,3.99328859060403
Pittsburgh,5.24666666666667,3.79889807162534,5.00714285714286,3.66763848396501
Purdue,6.55109489051095,3.93478260869565,7.35714285714286,3.63562753036437
Rice,6.5374149659864,3.77157360406091,6.25,4.13496932515337
Rutgers,4.25757575757576,4.22600619195046,6.22333333333333,4.93193717277487
San Diego State,4.90867579908676,4.71720116618076,4.24305555555556,3.50622406639004
San José State,7.66779661016949,4.82096069868996,5.36933797909408,3.99632352941176
SMU,7.44050632911392,5.42857142857143,6.44767441860465,4.61538461538462
South Alabama,6.31713554987212,3.97361477572559,8.0843023255814,4.86215538847118
South Carolina,4.83540372670808,5.28955223880597,7.67326732673267,5.30809399477807
South Florida,5.03678929765886,4.89568345323741,6.4,5.01506024096386
Southern Mississippi,6.22033898305085,4.88046647230321,6.49190938511327,5.0546875
Stanford,7.4061135371179,4.35714285714286,7.30674846625767,6.06008583690987
Stephen F. Austin,4.52272727272727,2.77570093457944,6.78461538461538,6.1055900621118
Syracuse,3.91397849462366,3.97857142857143,6.38790931989924,5.06079664570231
TCU,6.05102040816327,5.42487046632124,5.82530120481928,4.65030674846626
Temple,4.82539682539683,3.88929889298893,7.44808743169399,5.04827586206897
Tennessee,5.53627760252366,4.71014492753623,7.27245508982036,4.37741046831956
Texas,6.66301369863014,6.04597701149425,6.08148148148148,3.39237057220708
Texas A&M,7.44144144144144,5.70103092783505,5.44568245125348,4.29889298892989
Texas State,5.83953488372093,5.16521739130435,7.01882352941176,5.31906614785992
Texas Tech,5.78536585365854,4.79750778816199,6.28648648648649,4.80693069306931
The Citadel,3.47826086956522,3.32142857142857,4.26865671641791,5.44444444444445
Toledo,8.18103448275862,4.90829694323144,5.70673076923077,4
Troy,6.03138075313808,4.28104575163399,6.3586387434555,4.56674473067916
Tulane,5.00574712643678,5.94375,6.83644859813084,4.11513859275053
Tulsa,6.26299694189603,4.72455089820359,4.8112582781457,4.20783132530121
UAB,6.15322580645161,4.82044198895028,3.7029702970297,5.00346020761246
UCF,7.74592074592075,5.10874704491726,7.36898395721925,4.43855421686747
UCLA,6.50710900473934,4.99674267100977,5.83157894736842,4.48760330578512
UMass,3.66363636363636,3.24299065420561,6.53389830508475,7.33540372670808
UNLV,4.18695652173913,4.57142857142857,7.19774011299435,7.08370044052863
USC,6.23021582733813,3.67455621301775,4.51741293532338,4.57920792079208
UT San Antonio,5.89173789173789,5.73755656108597,5.80332409972299,5.06770833333333
Utah,6.13496932515337,5.21546961325967,5.82,4.05343511450382
Utah State,4.03825136612022,5.0561797752809,7.21739130434783,6.10169491525424
UTEP,5.604,3.92361111111111,7.2991452991453,4.21455938697318
Vanderbilt,5.19424460431655,3.79783393501805,7.52877697841727,6.4156378600823
Virginia,5.10606060606061,5.08381502890173,7.82768361581921,4.6053412462908
Virginia Tech,7.53818181818182,6.15111111111111,5.88151658767773,5.96216216216216
Wake Forest,6.35905044510386,4.55555555555556,6.43450479233227,4.8567335243553
Washington,8.09821428571429,4.6948051948052,4.85826771653543,4.93181818181818
Washington State,5.52173913043478,4.50495049504951,7.1875,5.44827586206897
West Virginia,6.07380952380952,4.4702380952381,4.64727272727273,4.11781609195402
Western Carolina,2.81481481481482,3.32876712328767,12.3090909090909,6.11688311688312
Western Kentucky,4.26329113924051,4.34710743801653,5.32212885154062,4.71002132196162
Western Michigan,9.58385093167702,5.02631578947368,6.27522935779817,4.875
Wisconsin,5.58215962441315,4.35379061371841,4.45374449339207,4.02673796791444
Wyoming,5.15436241610738,5.52307692307692,5.11917098445596,3.61881188118812
