offense,offense_conference,pass_rate_1,avg_distance_1,cfb_pass_rate_1,cfb_distance_1,pass_vs_avg_1,distance_vs_avg_1,pass_rate_2,avg_distance_2,cfb_pass_rate_2,cfb_distance_2,pass_vs_avg_2,distance_vs_avg_2,pass_rate_3,avg_distance_3,cfb_pass_rate_3,cfb_distance_3,pass_vs_avg_3,distance_vs_avg_3,pass_rate_4,avg_distance_4,cfb_pass_rate_4,cfb_distance_4,pass_vs_avg_4,distance_vs_avg_4
Abilene Christian,,0.5,9.94186046511628,0.424182273237249,9.89629182129398,0.178738555442523,0.00460461803725825,0.625,8.40625,0.477410522198318,7.85425386270291,0.309145841868087,0.0702798950665856,0.72972972972973,9.16216216216216,0.622215209845377,7.02600189334175,0.172793140031197,0.304036392424654,0.4,3.3,0.491049830672472,3.90711175616836,-0.185418719211823,-0.15538632986627
Air Force,Mountain West,0.13953488372093,9.87790697674419,0.424182273237249,9.89629182129398,-0.671049705457901,-0.00185775085070087,0.147540983606557,7.18032786885246,0.477410522198318,7.85425386270291,-0.690955735690157,-0.0858039484884353,0.279411764705882,5.72058823529412,0.622215209845377,7.02600189334175,-0.550940317297423,-0.185797510143673,0.181818181818182,3.18181818181818,0.491049830672472,3.90711175616836,-0.629735781459919,-0.185634202350399
Akron,Mid-American,0.437086092715232,10.1456953642384,0.424182273237249,9.89629182129398,0.0304204590623379,0.025201716708453,0.508333333333333,8.15833333333333,0.477410522198318,7.85425386270291,0.0647719513860439,0.0387152587560717,0.544303797468355,7.60759493670886,0.622215209845377,7.02600189334175,-0.1252161810644,0.0827772397724891,0.444444444444444,3.44444444444444,0.491049830672472,3.90711175616836,-0.0949096880131364,-0.118416707941225
Alabama,SEC,0.467672413793103,9.68534482758621,0.424182273237249,9.89629182129398,0.102527010909601,-0.0213157612484582,0.464539007092199,6.99290780141844,0.477410522198318,7.85425386270291,-0.0269611047675497,-0.109666185527145,0.648275862068966,5.6,0.622215209845377,7.02600189334175,0.0418836630979571,-0.202960647461981,0.333333333333333,1.88888888888889,0.491049830672472,3.90711175616836,-0.321182266009852,-0.516551097903253
Appalachian State,Sun Belt,0.328947368421053,9.83947368421053,0.424182273237249,9.89629182129398,-0.224514108261498,-0.00574135626853643,0.372340425531915,7.65957446808511,0.477410522198318,7.85425386270291,-0.220083328248799,-0.0247864912467716,0.478260869565217,6.74534161490683,0.622215209845377,7.02600189334175,-0.231357797113209,-0.0399459440369474,0.578947368421053,3.84210526315789,0.491049830672472,3.90711175616836,0.178999222193415,-0.0166379917103308
Arizona,Pac-12,0.559006211180124,10.0745341614907,0.424182273237249,9.89629182129398,0.317844347699715,0.0180110230594837,0.479338842975207,8.14876033057851,0.477410522198318,7.85425386270291,0.00403912500296246,0.0374964284353102,0.670886075949367,7,0.622215209845377,7.02600189334175,0.0782219163624833,-0.0037008093274767,0.333333333333333,3.33333333333333,0.491049830672472,3.90711175616836,-0.321182266009852,-0.146854878652798
Arizona State,Pac-12,0.308333333333333,9.93333333333333,0.424182273237249,9.89629182129398,-0.273111224143778,0.003742968852197,0.373493975903614,7.63855421686747,0.477410522198318,7.85425386270291,-0.217667063172806,-0.0274627799923461,0.48936170212766,6.91489361702128,0.622215209845377,7.02600189334175,-0.213516972287984,-0.0158138693964435,0.5,8,0.491049830672472,3.90711175616836,0.0182266009852216,1.04754829123328
Arkansas,SEC,0.447019867549669,9.93046357615894,0.424182273237249,9.89629182129398,0.0538391058592092,0.0034529857730584,0.399103139013453,7.19730941704036,0.477410522198318,7.85425386270291,-0.164025256134459,-0.0836418655605409,0.62043795620438,6.97080291970803,0.622215209845377,7.02600189334175,-0.00285633268501924,-0.00785638467960407,0.545454545454545,3.18181818181818,0.491049830672472,3.90711175616836,0.110792655620242,-0.185634202350399
Arkansas State,Sun Belt,0.53929539295393,9.84010840108401,0.424182273237249,9.89629182129398,0.271376544894645,-0.00567721942971372,0.56,8.21818181818182,0.477410522198318,7.85425386270291,0.172994674313806,0.0463351404016962,0.676300578034682,7.17919075144509,0.622215209845377,7.02600189334175,0.0869238927842113,0.0218031336212006,0.633333333333333,4.06666666666667,0.491049830672472,3.90711175616836,0.289753694581281,0.0408370480435859
Army,FBS Independents,0.0718562874251497,9.82634730538922,0.424182273237249,9.89629182129398,-0.830600447122033,-0.00706774993783593,0.0823529411764706,7.67450980392157,0.477410522198318,7.85425386270291,-0.827500783189146,-0.0228849311371112,0.21301775147929,6,0.622215209845377,7.02600189334175,-0.657646183975114,-0.146029265137837,0.0909090909090909,3.24242424242424,0.491049830672472,3.90711175616836,-0.81486789072996,-0.170122472871359
