offense,offense_conference,pass_rate_standard_downs,cfb_pass_standard,pass_vs_avg_standard,pass_rate_passing_downs,cfb_pass_passing,pass_vs_avg_passing
Louisiana Tech,Conference USA,0.489130434782609,0.405482481666861,0.206292397076903,0.676348547717842,0.634010190319197,0.0667786701935028
Louisville,ACC,0.409691629955947,0.405482481666861,0.0103805922065572,0.557142857142857,0.634010190319197,-0.121239901739813
LSU,SEC,0.479166666666667,0.405482481666861,0.181719774173485,0.755905511811024,0.634010190319197,0.192260823805462
Marshall,Conference USA,0.371428571428571,0.405482481666861,-0.0839836781562058,0.582159624413146,0.634010190319197,-0.0817819124956758
Maryland,Big Ten,0.512562814070352,0.405482481666861,0.264081279080922,0.654205607476636,0.634010190319197,0.0318534582973677
Memphis,American Athletic,0.460952380952381,0.405482481666861,0.136799743006145,0.687285223367698,0.634010190319197,0.0840286699834889
Mercer,,0.41025641025641,0.405482481666861,0.0117734521351572,0.529411764705882,0.634010190319197,-0.164979092150954
Miami,ACC,0.451292246520875,0.405482481666861,0.112975940824124,0.618243243243243,0.634010190319197,-0.024868601982589
Miami (OH),Mid-American,0.447761194029851,0.405482481666861,0.104267666975871,0.545454545454545,0.634010190319197,-0.13967542827674
Michigan,Big Ten,0.483739837398374,0.405482481666861,0.192998117723391,0.731884057971015,0.634010190319197,0.154372704329157
Michigan State,Big Ten,0.494880546075085,0.405482481666861,0.220473308836245,0.601063829787234,0.634010190319197,-0.0519650331099185
Middle Tennessee,Conference USA,0.43855421686747,0.405482481666861,0.0815614402492991,0.689497716894977,0.634010190319197,0.0875183513183673
Minnesota,Big Ten,0.271028037383178,0.405482481666861,-0.331591253291552,0.685897435897436,0.634010190319197,0.08183976593833
Mississippi State,SEC,0.746,0.405482481666861,0.839783551026267,0.844961240310077,0.634010190319197,0.332725014852957
Missouri,SEC,0.436559139784946,0.405482481666861,0.0766411855583388,0.707627118644068,0.634010190319197,0.116113162609907
Missouri State,,0.48,0.405482481666861,0.183774938998134,0.666666666666667,0.634010190319197,0.0515078098839842
Navy,American Athletic,0.170103092783505,0.405482481666861,-0.580492128576692,0.36697247706422,0.634010190319197,-0.421188361531752
NC State,ACC,0.432234432234432,0.405482481666861,0.0659756013566836,0.678321678321678,0.634010190319197,0.0698908135532847
Nebraska,Big Ten,0.351145038167939,0.405482481666861,-0.134006883048439,0.625,0.634010190319197,-0.0142114282337648
Nevada,Mountain West,0.527845036319613,0.405482481666861,0.301770261811911,0.802030456852792,0.634010190319197,0.265011933718296
New Mexico,Mountain West,0.394578313253012,0.405482481666861,-0.0268918360394355,0.581395348837209,0.634010190319197,-0.0829873751011765
North Alabama,,0.519230769230769,0.405482481666861,0.280525775358559,0.746478873239437,0.634010190319197,0.177392547686996
North Carolina,ACC,0.388333333333333,0.405482481666861,-0.0422931917133153,0.634538152610442,0.634010190319197,0.000832734708852486
North Texas,Conference USA,0.385057471264368,0.405482481666861,-0.0503721155067652,0.591439688715953,0.634010190319197,-0.0671448223597338
Northern Illinois,Mid-American,0.463414634146342,0.405482481666861,0.142872146390475,0.668831168831169,0.634010190319197,0.0549217962797114
Northwestern,Big Ten,0.347629796839729,0.405482481666861,-0.142676163441908,0.614718614718615,0.634010190319197,-0.0304278636134692
Notre Dame,FBS Independents,0.389473684210526,0.405482481666861,-0.0394808609006369,0.552901023890785,0.634010190319197,-0.127930382928982
Ohio,Mid-American,0.301724137931035,0.405482481666861,-0.255888597971719,0.509090909090909,0.634010190319197,-0.197030399724958
Ohio State,Big Ten,0.364556962025316,0.405482481666861,-0.100930426077367,0.590643274853801,0.634010190319197,-0.068400975453663
Oklahoma,Big 12,0.415300546448087,0.405482481666861,0.0242132896614093,0.681222707423581,0.634010190319197,0.0744664956893115
Oklahoma State,Big 12,0.383612662942272,0.405482481666861,-0.0539352985970841,0.519607843137255,0.634010190319197,-0.180442442296306
Ole Miss,SEC,0.388329979879276,0.405482481666861,-0.0423014619942997,0.554545454545455,0.634010190319197,-0.125336685414686
Oregon,Pac-12,0.404605263157895,0.405482481666861,-0.00216339434778997,0.634146341463415,0.634010190319197,0.000214745987204538
Oregon State,Pac-12,0.425149700598802,0.405482481666861,0.0485032518571297,0.656050955414013,0.634010190319197,0.0347640549495258
Penn State,Big Ten,0.392484342379958,0.405482481666861,-0.0320559823780045,0.637554585152838,0.634010190319197,0.00559043827332998
Pittsburgh,ACC,0.474806201550388,0.405482481666861,0.170966004742179,0.69023569023569,0.634010190319197,0.0886823284152362
Purdue,Big Ten,0.574545454545455,0.405482481666861,0.416942730012918,0.846715328467153,0.634010190319197,0.335491670947542
Rice,Conference USA,0.340425531914894,0.405482481666861,-0.160443305675082,0.614678899082569,0.634010190319197,-0.0304905055656843
Rutgers,Big Ten,0.432098765432099,0.405482481666861,0.0656410201886494,0.625,0.634010190319197,-0.0142114282337648
San Diego State,Mountain West,0.309659090909091,0.405482481666861,-0.236319434476819,0.523809523809524,0.634010190319197,-0.173815292234012
San José State,Mountain West,0.490358126721763,0.405482481666861,0.20932012822353,0.726708074534162,0.634010190319197,0.146208823817635
SMU,American Athletic,0.443548387096774,0.405482481666861,0.0938780518295929,0.68359375,0.634010190319197,0.0782062503693198
South Alabama,Sun Belt,0.399568034557235,0.405482481666861,-0.0145861963883423,0.671009771986971,0.634010190319197,0.0583580236291567
South Carolina,SEC,0.412844036697248,0.405482481666861,0.018155050743808,0.642533936651584,0.634010190319197,0.0134441787569623
South Florida,American Athletic,0.452316076294278,0.405482481666861,0.115500907548196,0.633333333333333,0.634010190319197,-0.00106758061021501
Southern Mississippi,Conference USA,0.392592592592593,0.405482481666861,-0.0317890159428842,0.583690987124464,0.634010190319197,-0.0793665527196017
Stanford,Pac-12,0.486013986013986,0.405482481666861,0.198606618012388,0.72,0.634010190319197,0.135628434674703
Stephen F. Austin,,0.421052631578947,0.405482481666861,0.0383990692966087,0.716981132075472,0.634010190319197,0.130866889875228
Syracuse,ACC,0.484536082474227,0.405482481666861,0.194961815569422,0.696969696969697,0.634010190319197,0.0993036194241654
TCU,Big 12,0.351230425055928,0.405482481666861,-0.13379630209402,0.59051724137931,0.634010190319197,-0.0685997632277639
Temple,American Athletic,0.396341463414634,0.405482481666861,-0.0225435590081464,0.625641025641026,0.634010190319197,-0.0132003630319533
Tennessee,SEC,0.400900900900901,0.405482481666861,-0.0112990843577897,0.637614678899083,0.634010190319197,0.00568522183858119
Texas,Big 12,0.427974947807933,0.405482481666861,0.0554708702793036,0.683760683760684,0.634010190319197,0.0784695485989582
Texas A&M,SEC,0.358148893360161,0.405482481666861,-0.116733990854846,0.691964285714286,0.634010190319197,0.0914087758840461
Texas State,Sun Belt,0.509018036072144,0.405482481666861,0.255339155417193,0.63768115942029,0.634010190319197,0.0057900790194631
Texas Tech,Big 12,0.511340206185567,0.405482481666861,0.261066086217943,0.658536585365854,0.634010190319197,0.0386845439097894
The Citadel,,0.166666666666667,0.405482481666861,-0.588967035070092,0.333333333333333,0.634010190319197,-0.474246095058008
Toledo,Mid-American,0.373333333333333,0.405482481666861,-0.0792861585570068,0.745341614906832,0.634010190319197,0.175598793659113
Troy,Sun Belt,0.518867924528302,0.405482481666861,0.279630928555373,0.799212598425197,0.634010190319197,0.26056743350265
Tulane,American Athletic,0.353932584269663,0.405482481666861,-0.127132243014016,0.542662116040956,0.634010190319197,-0.144079820282149
Tulsa,American Athletic,0.386946386946387,0.405482481666861,-0.0457136758270676,0.696969696969697,0.634010190319197,0.0993036194241654
UAB,Conference USA,0.273417721518987,0.405482481666861,-0.325697819558025,0.651162790697675,0.634010190319197,0.0270541398866824
UCF,American Athletic,0.420869565217391,0.405482481666861,0.0379475914403929,0.677536231884058,0.634010190319197,0.0686519589581797
UCLA,Pac-12,0.345714285714286,0.405482481666861,-0.147400192745392,0.535714285714286,0.634010190319197,-0.155038367057513
UMass,FBS Independents,0.453846153846154,0.405482481666861,0.119274381424518,0.586206896551724,0.634010190319197,-0.0753983051020139
UNLV,Mountain West,0.421455938697318,0.405482481666861,0.0393937044204561,0.727272727272727,0.634010190319197,0.147099428964346
USC,Pac-12,0.548172757475083,0.405482481666861,0.35190244279272,0.773972602739726,0.634010190319197,0.220757354625584
UT San Antonio,Conference USA,0.352140077821012,0.405482481666861,-0.131552918455487,0.609318996415771,0.634010190319197,-0.0389444748372187
Utah,Pac-12,0.416666666666667,0.405482481666861,0.0275824123247692,0.586206896551724,0.634010190319197,-0.0753983051020139
Utah State,Mountain West,0.418918918918919,0.405482481666861,0.0331369118508489,0.647482014388489,0.634010190319197,0.0212485923333659
UTEP,Conference USA,0.335384615384615,0.405482481666861,-0.172875202879509,0.661971830985916,0.634010190319197,0.0441028253073365
Vanderbilt,SEC,0.392045454545455,0.405482481666861,-0.0331383665853309,0.689655172413793,0.634010190319197,0.0877666998799838
Virginia,ACC,0.48605577689243,0.405482481666861,0.198709682584432,0.633333333333333,0.634010190319197,-0.00106758061021501
Virginia Tech,ACC,0.329411764705882,0.405482481666861,-0.187605434020888,0.497674418604651,0.634010190319197,-0.215037193086607
Wake Forest,ACC,0.372413793103448,0.405482481666861,-0.0815539266393787,0.691699604743083,0.634010190319197,0.0909913047215252
Washington,Pac-12,0.294444444444444,0.405482481666861,-0.273841761957163,0.686046511627907,0.634010190319197,0.0820748973806117
Washington State,Pac-12,0.565217391304348,0.405482481666861,0.393937881066643,0.730769230769231,0.634010190319197,0.152614330065137
West Virginia,Big 12,0.48421052631579,0.405482481666861,0.1941589296911,0.676156583629893,0.634010190319197,0.0664758925869592
Western Carolina,,0.30379746835443,0.405482481666861,-0.250775355064472,0.625,0.634010190319197,-0.0142114282337648
Western Kentucky,Conference USA,0.438133874239351,0.405482481666861,0.0805247921889661,0.675471698113208,0.634010190319197,0.0653956488824519
Western Michigan,Mid-American,0.332155477031802,0.405482481666861,-0.180838896747463,0.632075471698113,0.634010190319197,-0.00305155760999612
Wisconsin,Big Ten,0.309090909090909,0.405482481666861,-0.237720683220899,0.69375,0.634010190319197,0.0942253146605211
Wyoming,Mountain West,0.237735849056604,0.405482481666861,-0.413696374552811,0.597222222222222,0.634010190319197,-0.0580242536455975
